TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
23511,28547,3142,3701,45,46,140,76,5,4,19,12
21391,28351,3121,3948,45,50,441,0,5,0,49,0
19634,24170,2915,3505,46,47,277,20,4,3,31,2
16878,22140,2299,2895,43,45,376,175,7,5,49,24
18669,25064,2562,3442,40,47,955,46,10,3,109,8
21568,28289,3025,3912,48,48,124,31,2,2,13,5
23058,33309,2700,3494,36,47,1054,52,14,3,146,12
35083,45755,4181,5204,47,48,166,10,3,2,27,2
34597,43422,3943,4538,43,44,391,186,7,6,45,24
29273,38506,3139,3684,40,47,853,105,10,3,101,20
25577,32784,2621,3376,42,47,102,9,8,3,12,2
33097,44252,3600,4532,46,50,362,0,4,0,36,0
36228,47401,4126,4906,40,49,529,10,10,1,63,2
29889,40097,3641,4811,42,49,602,36,8,1,97,9
27880,33968,3431,3953,42,48,251,77,8,2,34,8
34124,48347,3444,4806,38,48,726,40,12,2,93,10
12217,19572,1727,2616,39,50,377,0,11,0,53,0
6749,11284,992,1645,38,47,366,41,12,3,59,8
13649,17848,1844,2458,44,47,100,34,6,3,16,8
9616,18158,1241,2344,46,50,108,0,4,0,13,0
8623,13582,1344,2053,40,45,195,172,10,5,30,30
16039,19899,2109,2574,46,49,31,20,4,1,7,5
7603,10830,1127,1638,36,45,329,92,14,5,47,16
10516,16121,1463,2205,44,48,58,36,6,2,10,6
11406,14897,1625,2111,42,49,197,30,8,1,34,6
12568,15272,1736,2128,48,48,15,25,2,2,2,5
15838,22186,1539,2109,41,49,133,4,9,1,27,1
19828,26774,2072,2667,41,45,495,92,9,5,72,18
18588,23737,2085,2544,44,45,330,148,6,5,42,16
13893,15176,1823,1975,44,44,175,179,6,6,24,26
23321,30696,2233,2954,41,48,899,64,9,2,99,9
22816,30220,2343,3154,43,48,201,48,7,2,24,7
26476,33941,2648,3372,46,48,98,36,4,2,20,8
15248,21454,1727,2207,37,44,654,133,13,6,74,17
18432,23693,1887,2423,41,47,194,75,9,3,32,13
27071,32782,2959,3236,42,47,521,37,8,3,67,7
9034,12797,1135,1645,47,48,40,20,3,2,4,2
9603,13381,1255,1692,39,39,361,335,11,11,47,48
9316,15771,1394,2158,39,50,361,0,11,0,50,0
9288,11156,1490,1730,45,45,15,15,5,5,2,2
8310,11004,1189,1490,38,44,293,102,12,6,46,23
10637,14232,1457,1927,47,47,110,57,3,3,20,11
14323,21835,1843,2727,41,49,268,28,9,1,46,7
13834,17448,1995,2551,46,47,122,22,4,3,14,3
9397,14409,1276,1974,37,46,380,77,13,4,59,12
9896,14880,1321,1834,37,47,445,40,13,3,60,10
15725,23119,1824,2722,40,50,226,0,10,0,32,0
21356,31462,2131,3183,32,49,1069,12,18,1,140,3
16240,27689,1871,3021,36,46,742,112,14,4,103,19
19511,24986,2013,2575,40,48,572,24,10,2,70,5
13289,16141,1549,1969,39,42,290,82,11,8,43,16
13279,16346,1481,1688,40,43,180,120,10,7,27,19
17611,24162,1901,2523,40,46,377,147,10,4,59,27
19176,26513,1779,2481,43,50,219,0,7,0,28,0
16626,23609,1777,2341,40,44,662,151,10,6,79,20
20012,26855,2299,3312,41,48,635,9,9,2,94,1
18776,31568,2706,4491,46,49,86,24,4,1,13,6
22005,33761,2872,4716,44,49,383,20,6,1,53,5
13630,19363,2139,2952,47,47,50,37,3,3,6,9
13698,18369,2030,2740,40,48,201,9,10,2,29,1
17875,25422,2606,3620,47,49,111,5,3,1,12,1
21315,33031,2876,4415,46,49,36,0,4,1,7,0
